Nr,TID,PID,x [micron],y [micron],t [min],I [val],Len [micron],D2S [micron],D2R [micron],D2P [micron],v [micron/min],? [deg],?? [deg]
394,10,24,886.092,1147.238,230,19825,189.942,8.054,NA,5.695,0.57,-71.565,18.435
395,10,25,886.092,1147.238,240,21271,189.942,8.054,NA,0,0,0,71.565
396,10,26,886.092,1154.442,250,15832,197.146,12.987,NA,7.204,0.72,90,90
397,10,27,902.301,1161.646,260,21504,214.883,20.136,NA,17.738,1.774,23.962,-66.038
398,10,28,914.908,1158.044,270,16429,227.995,25.974,NA,13.111,1.311,-15.945,-39.908
399,10,29,922.112,1150.84,280,18269,238.183,29.703,NA,10.188,1.019,-45,-29.055
400,10,30,927.515,1141.835,290,18126,248.684,34.266,NA,10.502,1.05,-59.036,-14.036
401,10,31,929.316,1140.034,300,16177,251.231,36.2,NA,2.547,0.255,-45,14.036
402,10,32,907.704,1140.034,310,15190,272.844,14.851,NA,21.612,2.161,180,-135
403,10,33,896.898,1140.034,320,16439,283.65,5.094,NA,10.806,1.081,180,0
404,10,34,880.689,1147.238,330,20292,301.387,13.111,NA,17.738,1.774,156.038,-23.962
405,10,35,884.291,1147.238,340,15746,304.989,9.699,NA,3.602,0.36,0,-156.038
406,10,36,918.51,1136.432,350,19423,340.874,26.223,NA,35.885,3.588,-17.526,-17.526
407,10,37,925.714,1134.631,360,20044,348.3,33.645,NA,7.426,0.743,-14.036,3.489
408,10,38,934.719,1134.631,370,18753,357.305,42.391,NA,9.005,0.901,0,14.036
409,10,39,934.719,1141.835,380,19811,364.509,41.462,NA,7.204,0.72,90,90
410,10,40,925.714,1154.442,390,15698,380.002,34.172,NA,15.493,1.549,125.538,35.538
411,10,41,922.112,1161.646,400,15823,388.056,33.981,NA,8.054,0.805,116.565,-8.973
412,10,42,907.704,1152.641,410,15843,405.046,16.991,NA,16.991,1.699,-147.995,95.44
413,10,43,878.888,1150.84,420,16987,433.919,16.109,NA,28.872,2.887,-176.424,-28.429
414,10,44,878.888,1143.636,430,19764,441.123,14.408,NA,7.204,0.72,-90,86.424
415,10,45,891.495,1134.631,440,15220,456.615,9.183,NA,15.493,1.549,-35.538,54.462
416,10,46,891.495,1134.631,450,16933,456.615,9.183,NA,0,0,0,35.538
417,10,47,887.893,1131.029,460,16723,461.709,13.716,NA,5.094,0.509,-135,-135
418,10,48,875.286,1141.835,470,15594,478.314,18.1,NA,16.604,1.66,139.399,-85.601
